State,Eastern_Michigan
Eastern_Michigan,"Behm, Frances Kay"
Eastern_Michigan,"Berg, Terrence George"
Eastern_Michigan,"Borman, Paul D."
Eastern_Michigan,"Cleland, Robert Hardy"
Eastern_Michigan,"Cox, Sean Francis"
Eastern_Michigan,"DeClercq, Susan Kim"
Eastern_Michigan,"Drain, Gershwin Allen"
Eastern_Michigan,"Edmunds, Nancy Garlock"
Eastern_Michigan,"Friedman, Bernard A."
Eastern_Michigan,"Goldsmith, Mark Allan"
Eastern_Michigan,"Grey, Jonathan James Canada"
Eastern_Michigan,"Hood, Denise Page"
Eastern_Michigan,"Kumar, Shalina Deborah"
Eastern_Michigan,"Lawson, David M."
Eastern_Michigan,"Leitman, Matthew Frederick"
Eastern_Michigan,"Levy, Judith Ellen"
Eastern_Michigan,"Ludington, Thomas Lamson"
Eastern_Michigan,"McMillion, Brandy Renée"
Eastern_Michigan,"Michelson, Laurie Jill"
Eastern_Michigan,"Murphy, Stephen Joseph III"
Eastern_Michigan,"O'Meara, John Corbett"
Eastern_Michigan,"Parker, Linda Vivienne"
Eastern_Michigan,"Steeh, George Caram III"
