State,Northern_Alabama
Northern_Alabama,"Axon, Annemarie Carney"
Northern_Alabama,"Blackburn, Sharon Lovelace"
Northern_Alabama,"Bowdre, Karon O."
Northern_Alabama,"Burke, Liles Clifton"
Northern_Alabama,"Coogler, L. Scott"
Northern_Alabama,"Haikala, Madeline Hughes"
Northern_Alabama,"Hopkins, Virginia Emerson"
Northern_Alabama,"Johnson, Inge Prytz"
Northern_Alabama,"Manasco, Anna Marie"
Northern_Alabama,"Maze, Corey Landon"
Northern_Alabama,"Proctor, R. David"
Northern_Alabama,"Smith, Charles Lynwood, Jr."
