State,Northern_California
Northern_California,"Alsup, William Haskell"
Northern_California,"Armstrong, Saundra Brown"
Northern_California,"Breyer, Charles R."
Northern_California,"Chen, Edward Milton"
Northern_California,"Chesney, Maxine M."
Northern_California,"Chhabria, Vince Girdhari"
Northern_California,"Corley, Jacqueline Scott"
Northern_California,"Davila, Edward John"
Northern_California,"Donato, James"
Northern_California,"Freeman, Beth Labson"
Northern_California,"Gilliam, Haywood Stirling, Jr."
Northern_California,"Hamilton, Phyllis Jean"
Northern_California,"Henderson, Thelton Eugene"
Northern_California,"Illston, Susan Yvonne"
Northern_California,"Lin, Rita Faye"
Northern_California,"Martinez-Olguin, Araceli"
Northern_California,"Orrick, William Horsley III"
Northern_California,"Pitts, Patrick Casey"
Northern_California,"Rogers, Yvonne Gonzalez"
Northern_California,"Seeborg, Richard G."
Northern_California,"Thompson, Trina Lynn"
Northern_California,"Tigar, Jon Steven"
Northern_California,"White, Jeffrey Steven"
Northern_California,"Wilken, Claudia Ann"
