State,Northern_Ohio
Northern_Ohio,"Adams, John R."
Northern_Ohio,"Barker, Pamela Ann"
Northern_Ohio,"Boyko, Christopher A."
Northern_Ohio,"Brennan, Bridget Meehan"
Northern_Ohio,"Calabrese, J. Philip"
Northern_Ohio,"Carr, James G."
Northern_Ohio,"Economus, Peter C."
Northern_Ohio,"Fleming, Charles Esque"
Northern_Ohio,"Gaughan, Patricia Anne"
Northern_Ohio,"Gwin, James S."
Northern_Ohio,"Helmick, Jeffrey James"
Northern_Ohio,"Knepp, James Ray II"
Northern_Ohio,"Lioi, Sara Elizabeth"
Northern_Ohio,"Nugent, Donald C."
Northern_Ohio,"Oliver, Solomon, Jr."
Northern_Ohio,"Pearson, Benita Yalonda"
Northern_Ohio,"Polster, Dan A."
Northern_Ohio,"Ruiz, David Augustin"
Northern_Ohio,"Zouhary, Jack"
