State,Southern_Ohio
Southern_Ohio,"Barrett, Michael Ryan"
Southern_Ohio,"Beckwith, Sandra Shank"
Southern_Ohio,"Black, Timothy Seymour"
Southern_Ohio,"Cole, Douglas Russell"
Southern_Ohio,"Dlott, Susan J."
Southern_Ohio,"Graham, James L."
Southern_Ohio,"Hopkins, Jeffery Paul"
Southern_Ohio,"Marbley, Algenon L."
Southern_Ohio,"McFarland, Matthew Walden"
Southern_Ohio,"Morrison, Sarah Daggett"
Southern_Ohio,"Newman, Michael Jay"
Southern_Ohio,"Rice, Walter Herbert"
Southern_Ohio,"Rose, Thomas M."
Southern_Ohio,"Sargus, Edmund A., Jr."
Southern_Ohio,"Watson, Michael H."
Southern_Ohio,"Weber, Herman Jacob"
