State,Western_Missouri
Western_Missouri,"Bough, Stephen Rogers"
Western_Missouri,"Fenner, Gary A."
Western_Missouri,"Gaitan, Fernando J., Jr."
Western_Missouri,"Harpool, M. Douglas"
Western_Missouri,"Kays, David Gregory"
Western_Missouri,"Ketchmark, Roseann Ambrosia"
Western_Missouri,"Laughrey, Nanette Kay"
Western_Missouri,"Phillips, Mary Elizabeth"
Western_Missouri,"Sachs, Howard Frederic"
Western_Missouri,"Sippel, Rodney W."
Western_Missouri,"Smith, Ortrie D."
Western_Missouri,"Whipple, Dean"
Western_Missouri,"Wimes, Brian Curtis"
